word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
AREDES	6	1400	180	64	0.033333	0.033333	0.078125	0.11765	0.086957	free	0.73438	0	0.046875			ARE	ARE	0.54557	14.619	12.474	False	True
STRENE	6	1400	202	61	0.0024752	0	0	0	0	free	0.65574	0	0.13115	REN		REN	REN	0.48844	14.559	16.138	False	True
CRESTA	6	1400	202	60	0.0074257	0	0	0	0.021739	free	0.66667	0	0.11667	RES	CATERS,CASTER,CARTES	REST	RES	0.49639	14.554	13.891	False	True
RESAID	6	1400	185	54	0.054054	0.075676	0.092593	0.10345	0.041667	free	0.87037	0	0.018519	RES		RES	RES	0.644	14.55	16.291	False	True
SETONS	6	1400	166	54	0.01506	0	0	0.030303	0.0625	free	0.74074	0	0	TON		TONS	TON	0.55033	14.522	14.721	False	True
MISATE	6	1400	144	49	0.013889	0.020833	0	0.047619	0	free	0.81633	0	0	SAT		SATE	SAT	0.60498	14.486	13.646	False	True
PAREN	5	800	265	93	0.086792	0.083019	0.086022	0.14894	0.096774	free	0.87097	0	0	PARE		PARE	PARE	0.64315	14.468	13.992	False	True
ARTIER	6	1400	211	65	0.066351	0.080569	0.15385	0.090909	0.061224	free	0.81538	0.015385	0	TIE		TIER	TIE	0.60726	14.401	13.287	False	True
TANTI	5	800	294	93	0.030612	0.030612	0.010753	0.068182	0.043478	free	0.76344	0	0.021505	TAN		TAN	TAN	0.56519	14.398	14.724	False	True
ALIST	5	800	436	146	0.027523	0.03211	0.034247	0.028571	0.03876	free	0.50685	0.020548	0.054795	LIST	TAILS	LIST	LIST	0.38596	14.339	15.572	False	True
INSET	5	800	775	239	0.025161	0.020645	0.046025	0.035461	0.054054	free	0.3431	0	0.27197		TINES	SET	SET	0.26088	14.338	16.883	False	True
RANID	5	800	302	97	0.019868	0.016556	0.020619	0.018182	0	free	0.74227	0	0.020619	RAN		RAN	RAN	0.54982	14.334	14.314	False	True
