word	times	strengthWeighted	inLosses	len	pts	present	playerFound	oppFound	pointsTotal	strengthWeightedPoints	playerFindRate	oppFindRate	excessPoints	anagramKey	anagramDictSize	branchStem
RAINES	51	24.6305	28	6	1400	303	185	168	71400	34482.7	0.610561	0.554455	-23800	AEINRS	4	RAINE
STEAN	88	43.1031	50	5	800	628	282	207	70400	34482.5	0.449045	0.329618	-60000	AENST	6	TEA
NOTER	92	42.9272	50	5	800	447	283	256	73600	34341.7	0.63311	0.572707	-21600	ENORT	5	NOTE
DIREST	51	24.4752	29	6	1400	193	0	51	71400	34265.3	0	0.264249	71400	DEIRST	4	DIRE
TENS	179	85.5225	90	4	400	1189	559	411	71600	34209	0.470143	0.345669	-59200	ENST	6	TEN
TINE	187	85.3764	89	4	400	1179	755	666	74800	34150.6	0.640373	0.564885	-35600	EINT	3	TIN
LATED	93	42.6841	59	5	800	319	27	105	74400	34147.3	0.0846395	0.329154	62400	ADELT	3	LATE
SAINE	92	42.6695	42	5	800	496	193	168	73600	34135.6	0.389113	0.33871	-20000	AEINS	3	SAIN
OATER	90	42.5954	54	5	800	525	219	164	72000	34076.3	0.417143	0.312381	-44000	AEORT	3	OAT
EASTER	54	24.336	33	6	1400	336	178	164	75600	34070.4	0.529762	0.488095	-19600	AEERST	9	ASTER
LISTEN	49	24.3159	31	6	1400	166	15	56	68600	34042.2	0.0903614	0.337349	57400	EILNST	7	LIST
LEATS	94	42.5358	45	5	800	474	218	217	75200	34028.6	0.459916	0.457806	-800	AELST	12	LEAT
NOSER	89	42.4979	50	5	800	468	190	169	71200	33998.3	0.405983	0.361111	-16800	ENORS	7	NOSE
ROTS	187	84.8513	83	4	400	950	260	286	74800	33940.5	0.273684	0.301053	10400	ORST	5	ROT
EAST	189	84.8348	91	4	400	1345	706	537	75600	33933.9	0.524907	0.399257	-67600	AEST	10	EAS
DATER	93	42.3863	47	5	800	421	257	264	74400	33909	0.610451	0.627078	5600	ADERT	6	DATE
TONED	93	42.228	52	5	800	239	77	139	74400	33782.4	0.322176	0.58159	49600	DENOT	2	TONE
ALTER	86	42.2251	48	5	800	414	184	184	68800	33780.1	0.444444	0.444444	0	AELRT	6	ALT
RISE	181	84.2438	84	4	400	1266	577	403	72400	33697.5	0.455766	0.318325	-69600	EIRS	5	
ARES	191	84.1927	86	4	400	1986	898	421	76400	33677.1	0.452165	0.211984	-190800	AERS	7	ARE
TALER	87	42.0535	49	5	800	480	260	210	69600	33642.8	0.541667	0.4375	-40000	AELRT	6	TALE
SENTE	87	42.0417	38	5	800	480	144	139	69600	33633.4	0.3	0.289583	-4000	EENST	7	SENT
RONES	94	41.8097	47	5	800	498	311	258	75200	33447.7	0.624498	0.518072	-42400	ENORS	7	RONE
NEST	185	83.4361	85	4	400	1467	563	373	74000	33374.4	0.383776	0.25426	-76000	ENST	6	EST
STORE	85	41.6929	42	5	800	615	419	345	68000	33354.4	0.681301	0.560976	-59200	EORST	7	TORE
SENT	184	83.2393	74	4	400	1275	592	463	73600	33295.7	0.464314	0.363137	-51600	ENST	6	SEN
SIRES	93	41.6127	51	5	800	512	285	233	74400	33290.2	0.556641	0.455078	-41600	EIRSS	3	SIRE
NITRE	88	41.5529	44	5	800	586	243	208	70400	33242.4	0.414676	0.354949	-28000	EINRT	5	NIT
RESAT	85	41.5343	43	5	800	895	170	107	68000	33227.4	0.189944	0.119553	-50400	AERST	13	RES
STERN	80	41.463	49	5	800	624	206	156	64000	33170.4	0.330128	0.25	-40000	ENRST	4	TERN
