affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-I	3262	436	1.3966e+06	0.13366	2718	615	0.22627	3.6638e-21	3.847e-19	1.4834e+05
-AS	1758	264	1.3832e+06	0.15017	1432	270	0.18855	0.00194	0.0186	62232
C-	3724	1982	1.3336e+06	0.53222	2838	1417	0.4993	0.99591	1	-93015
-RS	4194	3075	1.3314e+06	0.73319	3538	2747	0.77643	5.6208e-06	0.00012211	2.3022e+05
-ST	1515	416	1.2688e+06	0.27459	1214	349	0.28748	0.2281	0.48384	21212
-EN	1279	119	1.1902e+06	0.093041	1069	265	0.2479	2.6736e-24	3.3687e-22	2.0397e+05
-EST	808	52	1.182e+06	0.064356	697	187	0.26829	1.8439e-27	2.9042e-25	2.5623e+05
IN-	893	15	1.1718e+06	0.016797	785	26	0.033121	0.015347	0.081937	19530
SE-	1263	173	1.1524e+06	0.13698	1009	125	0.12389	0.82079	1	-17093
-TED	1428	642	1.1384e+06	0.44958	1169	682	0.5834	5.7196e-12	3.6033e-10	2.7814e+05
-IS	1363	111	1.1214e+06	0.081438	1106	190	0.17179	4.4401e-12	3.1081e-10	1.1021e+05
-AL	1241	119	1.1094e+06	0.09589	1041	152	0.14601	0.00011367	0.0016655	60950
D-	2947	1407	1.1052e+06	0.47743	2008	865	0.43078	0.99939	1	-95005
-IE	1048	145	1.0796e+06	0.13836	901	220	0.24417	1.1867e-09	5.7512e-08	1.3352e+05
G-	2731	1193	1.0522e+06	0.43684	2099	814	0.3878	0.9997	1	-93878
EN-	706	17	1.0266e+06	0.024079	608	43	0.070724	2.689e-05	0.00047058	49256
-OS	1214	163	1.0196e+06	0.13427	1027	172	0.16748	0.014013	0.076765	38870
ST-	1815	923	9.876e+05	0.50854	1238	558	0.45073	0.99915	1	-1.1385e+05
UN-	704	1	9.754e+05	0.0014205	625	18	0.0288	1.3545e-05	0.00027526	26728
P-	2624	1354	9.518e+05	0.51601	2062	1022	0.49564	0.9169	1	-40020
-NS	1855	920	9.422e+05	0.49596	1447	753	0.52039	0.08178	0.2589	42748
SA-	1005	105	9.316e+05	0.10448	782	113	0.1445	0.0051642	0.038276	41384
O-	1595	202	9.248e+05	0.12665	1375	180	0.13091	0.36465	0.65079	4415.1
-L	3443	1917	9.072e+05	0.55678	2594	1329	0.51234	0.9997	1	-79487
-TER	1983	1376	9.006e+05	0.6939	1646	1138	0.69137	0.56519	0.84779	-7247.6
-SE	2124	1067	8.932e+05	0.50235	1671	808	0.48354	0.87506	1	-33379
