word	len	present	found	opp	pts	lc	beliefRaw	beliefWeighted	refN	refK	refRate	p	q	refForgone	foundStem	kind	reference
TENON	5	41	0	31.0589	800	5	0.014628	0.0145069	15	3	0.2	0.000106338	0.007924	6560	TEN	branch miss	topQuartile
EGRET	5	30	0	20.8534	800	5	0.0195386	0.0211331	11	3	0.272727	7.09446e-05	0.00556978	6545.45	RET	branch miss	topQuartile
TOISE	5	89	0	64.813	800	5	0.0069767	0.00712162	22	2	0.0909091	0.000207038	0.0136879	6472.73	OIS	branch miss	topQuartile
LOGAN	5	20	0	13.6337	800	5	0.0281204	0.0312217	5	2	0.4	3.65616e-05	0.00334881	6400	LOG	branch miss	topQuartile
NOSEY	5	20	0	15.2198	800	5	0.0281204	0.028258	5	2	0.4	3.65616e-05	0.00334881	6400	NOSE	branch miss	topQuartile
MERIS	5	64	0	45.9301	800	5	0.009589	0.00995748	16	2	0.125	0.000194319	0.0131434	6400	MERI	branch miss	topQuartile
NOELS	5	40	0	32.1409	800	5	0.0149701	0.0140402	10	2	0.2	0.000132923	0.00971279	6400	ELS	branch miss	topQuartile
SENSA	5	71	0	53.1124	800	5	0.00867908	0.0086477	18	2	0.111111	0.000233438	0.0152008	6311.11	SENS	branch miss	topQuartile
AMIRS	5	35	0	24.6076	800	5	0.0169519	0.0180931	9	2	0.222222	0.000151336	0.0109074	6222.22	MIRS	branch miss	topQuartile
ISLED	5	50	0	36.6164	800	5	0.0121331	0.0123912	13	2	0.153846	0.000235758	0.0152008	6153.85	SLED	branch miss	topQuartile
OPERA	5	46	0	34.6017	800	5	0.0131283	0.0130829	6	1	0.166667	0.000227857	0.0149519	6133.33	OPE	branch miss	topQuartile
IRADE	5	72	0	47.763	800	5	0.00856299	0.00958693	19	2	0.105263	0.000332708	0.0197669	6063.16	RADE	branch miss	topQuartile
AGIST	5	30	0	21.7733	800	5	0.0195386	0.0202975	8	2	0.25	0.000178582	0.0122678	6000	GIST	branch miss	topQuartile
LORAL	5	26	0	17.7533	800	5	0.0222554	0.0245377	7	2	0.285714	0.000158734	0.0112561	5942.86	ORAL	branch miss	topQuartile
ANILE	5	80	0	52.8216	800	5	0.00773533	0.008694	22	2	0.0909091	0.000488186	0.0266674	5818.18	ANI	branch miss	topQuartile
ISLES	5	61	0	47.1528	800	5	0.0100401	0.00970719	17	2	0.117647	0.000483262	0.0266674	5741.18		true gap	topQuartile
TANTO	5	43	0	31.9698	800	5	0.0139888	0.014112	12	2	0.166667	0.000393737	0.022928	5733.33	TAN	branch miss	topQuartile
THALE	5	32	0	24.1566	800	5	0.0184147	0.0184112	9	2	0.222222	0.000321645	0.0192396	5688.89	HALE	branch miss	topQuartile
ILLER	5	32	0	22.2958	800	5	0.0184147	0.0198516	9	2	0.222222	0.000321645	0.0192396	5688.89	ILL	branch miss	topQuartile
AINEE	5	60	0	43.0115	800	5	0.0102001	0.0106105	17	2	0.117647	0.000547697	0.0297278	5647.06	AINE	branch miss	topQuartile
EARNT	5	81	0	60.8617	800	5	0.00764299	0.00757293	23	2	0.0869565	0.000630679	0.0332069	5634.78	EARN	branch miss	topQuartile
SETON	5	123	0	95.384	800	5	0.00509062	0.00487421	35	2	0.0571429	0.000719193	0.0365541	5622.86	SET	branch miss	topQuartile
CHIRT	5	21	0	14.6942	800	5	0.0269372	0.0291757	6	2	0.333333	0.000200486	0.0133551	5600	CHI	branch miss	topQuartile
ALIT	4	143	0	102.828	400	4	0.00693789	0.00716006	31	3	0.0967742	4.77393e-07	8.78833e-05	5535.48	LIT	branch miss	topQuartile
SCRAN	5	31	0	22.8305	800	5	0.01896	0.0194152	9	2	0.222222	0.000413544	0.023923	5511.11	CRAN	branch miss	topQuartile
ALERT	5	92	0	64.3341	800	5	0.00675584	0.00717343	27	2	0.0740741	0.000841423	0.0399926	5451.85	ALE	branch miss	topQuartile
SIDED	5	17	0	11.9837	800	5	0.032388	0.0350451	5	2	0.4	0.000169267	0.0118124	5440	SIDE	branch miss	topQuartile
DIODE	5	17	0	11.8978	800	5	0.032388	0.03527	5	2	0.4	0.000169267	0.0118124	5440	ODE	branch miss	topQuartile
