affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
NET-	34	6	45600	0.176471	35	8	0.228571	0.295282	0.56372	2896.81
-OTE	42	10	45600	0.238095	33	2	0.0606061	0.981294	1	-10578.4
-CT	55	5	45400	0.0909091	38	3	0.0789474	0.580133	0.85746	-590.909
COS-	42	13	45400	0.309524	36	7	0.194444	0.877048	1	-7457.14
OT-	66	17	45200	0.257576	46	8	0.173913	0.852236	1	-5120.16
TAI-	34	4	45200	0.117647	32	4	0.125	0.463559	0.761809	385.294
FU-	40	0	44800	0	32	1	0.03125	0.130108	0.35794	1400
-VE	72	24	44600	0.333333	72	29	0.402778	0.193805	0.442382	4430.56
-TRA	31	0	44200	0	32	1	0.03125	0.160561	0.390553	1381.25
KI-	56	8	44200	0.142857	40	3	0.075	0.848279	1	-3433.57
TIT-	47	17	44000	0.361702	33	15	0.454545	0.202011	0.456153	6369.05
-NEL	30	0	43600	0	35	1	0.0285714	0.175404	0.416997	1245.71
IR-	89	39	43600	0.438202	64	9	0.140625	0.999954	1	-26127.3
-GY	59	6	43600	0.101695	41	8	0.195122	0.0927063	0.283191	4521.87
ROU-	33	9	43600	0.272727	30	11	0.366667	0.211857	0.468316	5617.58
