word	len	present	found	opp	beliefRaw	beliefWeighted
SHIRES	6	18	9	12.8615	0.467014	0.669079
SHIRR	5	17	0	11.5656	0.032388	0.0361673
SHIRRA	6	14	0	6.50231	0.0271362	0.0445524
SHIRS	5	23	2	17.6631	0.102463	0.129076
SHIRT	5	35	8	26.5361	0.228773	0.302298
SHIRTS	6	10	3	6.57555	0.281654	0.435197
SHISO	5	15	0	11.2184	0.0360337	0.0371556
SHIST	5	24	3	18.5616	0.135994	0.173163
SHIT	4	93	47	72.6568	0.495527	0.638213
SHITE	5	58	34	46.872	0.570044	0.712797
SHITED	6	20	4	13.5478	0.199878	0.296275
SHITES	6	24	15	17.3821	0.58901	0.830106
SHITS	5	26	10	20.978	0.369868	0.466095
SHIUR	5	11	0	8.35288	0.0465028	0.0479726
SHLEP	5	12	0	9.34607	0.0433538	0.0435756
SHMO	4	28	0	22.4215	0.0319449	0.0305768
SHMOE	5	10	0	8.2378	0.050145	0.0485401
SHO	3	214	151	163.968	0.698894	0.914374
SHOAL	5	21	8	16.1571	0.363529	0.480093
SHOALS	6	10	4	6.30565	0.363531	0.586177
SHOAT	5	28	2	21.4338	0.085812	0.107844
SHOATS	6	10	2	7.51012	0.199777	0.271735
SHOD	4	69	10	53.2384	0.151144	0.194066
SHODER	6	23	0	14.4217	0.0174499	0.0218148
SHOE	4	91	40	69.6644	0.432212	0.567347
SHOED	5	39	9	29.5719	0.230806	0.304946
SHOER	5	55	24	42.2172	0.42654	0.559912
SHOERS	6	17	10	13.161	0.543368	0.72517
SHOES	5	34	10	28.133	0.289391	0.353516
SHOG	4	22	2	18.2262	0.116548	0.134953
SHOLA	5	28	0	19.2639	0.0208087	0.0227517
SHONE	5	34	11	24.778	0.316589	0.436737
SHOO	4	40	20	31.9916	0.47874	0.607561
SHOOL	5	14	7	11.2458	0.455652	0.586711
SHOON	5	11	1	8.51744	0.119137	0.14711
SHOORA	6	12	0	5.82093	0.0309546	0.0489414
SHOOS	5	16	3	13.2606	0.193963	0.235395
SHOOT	5	17	14	14.3235	0.740615	0.915184
SHOOTS	6	11	8	7.9477	0.638741	0.922053
SHOP	4	30	14	23.1033	0.442976	0.583824
SHOPE	5	11	7	8.17684	0.55494	0.772978
SHOPS	5	13	5	10.5524	0.357709	0.454414
SHORAN	6	11	0	5.4895	0.0332973	0.0514046
SHORE	5	60	38	43.5408	0.615607	0.854355
SHORED	6	24	11	15.9433	0.436416	0.665445
SHORER	6	11	2	6.45951	0.184658	0.309522
SHORES	6	21	11	14.7013	0.492817	0.717763
SHORL	5	21	1	15.6151	0.0690112	0.0860676
SHORN	5	25	0	18.4419	0.0230568	0.02369
SHORT	5	38	18	27.3267	0.457231	0.641026
SHORTED	7	10	7	4.64942	0.622828	1
SHOT	4	96	46	71.0264	0.470638	0.638767
SHOTE	5	56	25	43.4799	0.436298	0.566428
SHOTES	6	23	10	15.8821	0.414064	0.608943
SHOTS	5	31	10	26.0397	0.315101	0.380397
SHOUT	5	13	9	10.4256	0.611392	0.794947
SHOW	4	12	6	9.07738	0.441313	0.600604
SHRED	5	46	1	33.878	0.0336337	0.0416248
SHREDS	6	13	0	8.36151	0.0289199	0.0357939
SHREW	5	14	4	10.9569	0.276737	0.359303
SHRI	4	74	15	55.8368	0.205624	0.271577
SHRINE	6	20	9	12.8725	0.424967	0.668556
SHRIS	5	19	2	12.7123	0.121292	0.17407
SHTUM	5	12	0	8.61668	0.0433538	0.0467204
SHUL	4	14	2	11.2754	0.168621	0.204749
SHUN	4	19	4	15.575	0.219129	0.267866
SHURA	5	12	0	8.58157	0.0433538	0.0468833
SHUT	4	30	9	22.9814	0.295506	0.387811
SHUTE	5	14	3	10.3191	0.217098	0.294029
SHWA	4	17	2	12.8503	0.144423	0.183273
SHY	3	63	5	48.3813	0.0928312	0.116433
SHYER	5	14	2	10.7387	0.15746	0.202164
SIAL	4	161	20	114.781	0.127462	0.177448
SIALID	6	10	0	5.51595	0.0360236	0.051199
SIALS	5	30	2	20.5449	0.0805744	0.112194
SIB	3	90	12	70.6611	0.140752	0.176955
SIBS	4	26	6	20.9297	0.234715	0.29236
SIC	3	171	42	133.943	0.247172	0.315124
SICE	4	67	19	51.2395	0.282337	0.369857
SICES	5	18	7	14.3795	0.367891	0.470855
SICH	4	48	9	37.1214	0.193029	0.248227
SICHT	5	18	0	13.5232	0.0308284	0.0314515
SICK	4	12	6	9.43818	0.441313	0.581927
SICS	4	32	3	25.444	0.111939	0.135892
SIDA	4	94	1	69.8463	0.0206241	0.0243263
SIDAS	5	23	0	17.9751	0.0248464	0.0242581
SIDE	4	158	79	118.464	0.494235	0.661134
SIDED	5	17	0	11.9837	0.032388	0.0350451
SIDER	5	77	35	53.9596	0.4468	0.63972
SIDERAL	7	11	0	3.7186	0.024286	0.0722277
SIDERS	6	23	8	15.1115	0.334741	0.514493
SIDES	5	56	24	40.296	0.419282	0.585656
SIDH	4	46	0	35.5657	0.0204229	0.0199245
SIDHE	5	21	0	15.9014	0.0269372	0.0271505
SIDLE	5	29	1	19.8606	0.0516322	0.0689531
SIDLER	6	11	0	5.09682	0.0332973	0.0546643
SIDLES	6	11	1	5.52086	0.108978	0.202296
SIEGE	5	19	1	13.6293	0.0753519	0.0973718
SIEGER	6	10	0	6.02194	0.0360236	0.0475593
SIELD	5	42	0	30.8023	0.0143013	0.0146223
SIEN	4	244	9	183.682	0.0404155	0.0524722
SIENITE	7	10	0	4.55584	0.0263554	0.0611485
SIENS	5	83	1	60.2173	0.0191242	0.0238576
SIENT	5	105	0	76.7576	0.00594088	0.0060345
SIENTS	6	37	0	21.5163	0.0112199	0.0149704
SIERRAN	7	11	0	4.53507	0.024286	0.061382
SIES	4	194	15	145.996	0.0809438	0.106316
SIESTA	6	34	3	21.3716	0.0949916	0.148594
SIETH	5	79	0	59.106	0.00782993	0.00779234
SIEVE	5	11	0	8.71839	0.0465028	0.0462549
SIF	3	107	24	85.9543	0.227483	0.282457
SIFT	4	34	10	27.5778	0.290704	0.3615
SIFTED	6	10	5	7.80214	0.445408	0.599977
SIG	3	152	64	115.862	0.418555	0.54985
SIGH	4	25	8	19.0051	0.312026	0.413417
SIGN	4	83	40	60.4929	0.471999	0.650393
SIGNA	5	29	0	18.3268	0.0201537	0.0238276
SIGNAL	6	11	0	6.13153	0.0332973	0.0468381
SIGNED	6	16	6	8.57127	0.353583	0.655686
SIGNER	6	24	9	15.0017	0.360119	0.580125
SIGNET	6	19	3	11.2414	0.16216	0.270607
SIGNS	5	17	6	12.7462	0.335914	0.45463
