word	rank	track	len	pts	hook	hookClass	hookRank	hookOwned	myRate	fieldRate	topQRate	nTopQ	achievable	rateGap	presPerGame	nCur	expectedGain	expectedGainShrunk	belief	status	findability	findabilityScore	freeShare	pathCount	vowelInitial	pAppear_4x4_casual	pAppear_4x4_goodCasual	pAppear_4x4_spam	pAppear_5x5_casual	pAppear_5x5_goodCasual	pAppear_5x5_spam
FAINT	875	par	5	800	AINT	additive	15	7	0.20588	0.3022	0.3871	31	0.3871	0.18121	0.011867	34	1.7204	1.5607	0.29501	unknown	findable	0.53988	0.61765	1.2353	False	0.006504	0.006797	0.007805	0.015276	0.017781	0.020244
WASTE	876	par	5	800	ASTE	additive	12	119	0.58065	0.61719	0.68	50	0.68	0.099355	0.02164	62	1.7201	1.2731	0.74011	known	findable	0.82203	0.69355	1.5	False	0.011751	0.014876	0.018215	0.018073	0.024938	0.029664
PESTO	877	alpha	5	800	PEST	additive	330	6	0.052632	0.059091	0.13333	60	0.13333	0.080702	0.026527	76	1.7126	1.7534	0.079419	unknown	findable	0.72876	0.57895	1.4737	False	0.014472	0.019051	0.02856	0.021948	0.032497	0.043038
SALTIE	878	par	6	1400	SALTI	additive	331	3	0.18519	0.17665	0.25	40	0.25	0.064815	0.018848	54	1.7103	1.6089	0.30136	unknown	findable	0.94079	0.85185	1.5185	False	0.009208	0.012919	0.02469	0.013719	0.021857	0.031454
TATER	879	par	5	800	ATER	additive	43	98	0.59028	0.56093	0.63281	128	0.63281	0.042535	0.050262	144	1.7103	1.331	0.80545	known	findable	0.92584	0.79861	1.6042	False	0.033516	0.048236	0.10253	0.034592	0.058116	0.0877
CLEAT	880	par	5	800	CLE	additive	212	9	0.12	0.17647	0.24242	33	0.24242	0.12242	0.017452	50	1.7092	1.6408	0.18504	unknown	findable	0.85824	0.88	1.36	False	0.011524	0.013926	0.021725	0.019771	0.026876	0.034056
TIRR	881	par	4	400	IRR	additive	410	3	0.073684	0.13066	0.20253	79	0.20253	0.12885	0.033159	95	1.709	1.6994	0.10991	unknown	findable	0.43869	0	1.4	False	0.025589	0.029136	0.039015	0.037371	0.043182	0.048916
SPEAN	882	par	5	800	SPEA	additive	113	16	0.13725	0.15809	0.25714	35	0.25714	0.11989	0.017801	51	1.7073	1.6261	0.19425	unknown	findable	0.69346	0.70588	1.3137	False	0.010884	0.01378	0.021405	0.016679	0.022182	0.027426
SOME	883	par	4	400	OME	additive	196	19	0.23438	0.31402	0.3299	97	0.3299	0.095522	0.044677	128	1.7071	1.6086	0.31727	unknown	findable	0.46734	0.375	1.2891	False	0.033702	0.036257	0.03408	0.052464	0.059006	0.060665
SEINER	884	alpha	6	1400	INER	additive	73	37	0	0.021429	0.044776	67	0.044776	0.044776	0.027225	78	1.7066	1.8666	0.0099649	unknown	findable	0.50859	0.14103	1.4103	False	0.01431	0.023417	0.06142	0.015119	0.029546	0.050529
SEAM	885	par	4	400	SEA	additive	107	48	0.31905	0.29884	0.37714	175	0.37714	0.058095	0.073298	210	1.7033	1.582	0.43509	learning	findable	0.67924	0.64762	1.3429	False	0.051273	0.065832	0.09794	0.065166	0.08822	0.10874
SHIR	886	par	4	400	HIR	additive	96	3	0.26812	0.35851	0.35652	115	0.35652	0.088406	0.048168	138	1.7033	1.5964	0.3567	learning	hard to see	0.31103	0	1.2754	False	0.035158	0.038208	0.03892	0.066508	0.075246	0.079213
LANATE	887	alpha	6	1400	NAT	additive	227	23	0	0.030928	0.096774	31	0.096774	0.096774	0.012565	36	1.7024	1.7955	0.025372	unknown	findable	0.79123	0.61111	1.6667	False	0.006416	0.008345	0.01366	0.008768	0.013643	0.020399
STIR	888	par	4	400	RIT	cellmate	141	17	0.31915	0.33667	0.35144	313	0.35144	0.032289	0.13124	376	1.695	1.589	0.43923	learning	findable	0.36635	0	1.3245	False	0.085555	0.1164	0.21715	0.11302	0.16508	0.2241
