affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
TE-	1049	174	790400	0.165872	819	118	0.144078	0.900958	1	-20482.1
SI-	985	161	781200	0.163452	862	162	0.187935	0.0834992	0.40846	22823.3
-ATE	689	185	764800	0.268505	635	159	0.250394	0.773601	1	-18832.2
SP-	960	284	744200	0.295833	594	181	0.304714	0.355135	0.840356	9367.12
CO-	904	270	743000	0.298673	787	192	0.243964	0.994103	1	-56272.8
TO-	999	264	739000	0.264264	832	200	0.240385	0.878938	1	-23473.7
-NT	993	240	737600	0.241692	856	224	0.261682	0.161431	0.549753	19202.8
-LE	1275	552	734200	0.432941	1149	496	0.43168	0.524957	1	-1614.41
W-	1837	800	719000	0.435493	1251	536	0.428457	0.650764	1	-8646.53
-ETS	815	343	713600	0.420859	723	238	0.329184	0.999893	1	-115602
M-	2745	1713	693400	0.624044	1776	1176	0.662162	0.00457737	0.0879063	68361.6
-IA	781	32	687200	0.0409731	679	38	0.0559647	0.0905634	0.42752	10716
-OR	767	106	678000	0.138201	700	103	0.147143	0.31227	0.787667	7100.01
-AN	886	133	678000	0.150113	782	77	0.0984655	0.999246	1	-40884.1
LI-	792	107	672600	0.135101	714	90	0.12605	0.698508	1	-6938.18
LA-	837	273	663000	0.326165	784	156	0.19898	1	1	-119173
-INS	611	173	661200	0.283142	538	169	0.314126	0.125857	0.494646	28263.6
BE-	659	104	638400	0.157815	568	65	0.114437	0.986043	1	-32516.3
AS-	619	87	635400	0.140549	602	72	0.119601	0.861566	1	-15681.6
RES-	501	112	633400	0.223553	375	57	0.152	0.996041	1	-58401.5
-TE	1945	1235	626600	0.634961	1835	1225	0.667575	0.0177695	0.192503	55032
SC-	733	147	620400	0.200546	499	109	0.218437	0.223686	0.660001	13797.7
-NE	1183	519	619200	0.438715	1016	472	0.464567	0.112239	0.485327	27454.6
-IC	687	32	618400	0.0465793	544	21	0.0386029	0.753235	1	-5170.3
-ONS	463	65	593600	0.140389	442	57	0.128959	0.692609	1	-7879.49
MA-	697	158	590400	0.226686	623	146	0.23435	0.370639	0.85106	5738.9
TI-	739	195	569400	0.26387	642	190	0.29595	0.0924106	0.430497	23963.8
-HS	773	182	566800	0.235446	674	165	0.244807	0.3387	0.827173	6786.59
-RED	723	358	552200	0.495159	603	339	0.562189	0.00746575	0.116825	73076.1
-M	1653	507	552200	0.306715	1523	498	0.326986	0.109886	0.478628	15462.8
DI-	499	64	548800	0.128257	495	72	0.145455	0.215091	0.64797	10655.9
-SER	697	309	548000	0.443329	645	312	0.483721	0.0690747	0.374155	39754.2
CA-	731	224	544400	0.30643	652	184	0.282209	0.83792	1	-18432.2
LO-	701	170	541600	0.242511	589	129	0.219015	0.84041	1	-16658.3
-LES	622	272	538800	0.437299	533	235	0.440901	0.451071	0.929647	3444.5
-HER	624	250	538000	0.400641	550	280	0.509091	9.7228e-05	0.00468071	97518.1
-EE	578	17	528200	0.0294118	521	56	0.107486	1.0525e-07	1.77873e-05	42643.9
-RES	740	381	526600	0.514865	677	338	0.499261	0.721346	1	-16664.4
-CH	886	288	525600	0.325056	697	225	0.322812	0.537729	1	-1735.8
-ELS	409	65	524000	0.158924	358	61	0.170391	0.334474	0.825843	7125.5
-US	598	27	524000	0.0451505	515	19	0.0368932	0.754918	1	-4520.04
-NED	679	324	520200	0.477172	607	264	0.434926	0.935516	1	-41984.5
