word	len	pts	n	kP	nO	kO	fieldRate	myRate	nCur	kCur	myRateCur	nStrong	strongRate	nTopQ	topQRate	dead	everAccepted	share_freeCur	share_dropTerminalCur	share_cellmateCur	share_noneCur	share_freeAll	share_dropTerminalAll	share_cellmateAll	share_noneAll	observedHost	hookStem	cellmateOf	qCur	gainPerGameCur	qAll	gainPerGameAll	reachClass	family
RIANT	5	800	377	1	377	2	0.00397878	0.00265252	121	0	0	60	0.0166667	103	0.00970874	False	True	0.495868	0	0.0578512	0.446281	0.506631	0	0.0795756	0.413793	ANT			0.371126	12.5393	0.378998	12.5643	free	ANT
LATRON	6	1400	112	2	112	1	0.0133929	0.0178571	42	1	0.0238095	21	0	36	0.0277778	False	True	0.857143	0	0	0.142857	0.821429	0	0	0.178571	LAT	LAT		0.634494	12.5334	0.608669	10.2545	free	LAT
NERITES	7	1800	157	0	157	0	0	0	43	0	0	30	0	28	0	False	False	0.651163	0	0.0232558	0.325581	0.681529	0	0.0254777	0.292994	RITES	RIT		0.46339	12.5188	0.484606	15.1594	free	RIT
DITONES	7	1800	64	0	64	2	0.015625	0	29	0	0	8	0	20	0.05	False	True	0.965517	0	0	0.0344828	0.921875	0	0	0.078125	TONES	TONES		0.683406	12.4516	0.652888	8.32551	free	TONES
SEDAN	5	800	339	5	339	4	0.0132743	0.0147493	115	1	0.00869565	47	0.0212766	75	0.0133333	False	True	0.530435	0	0.026087	0.443478	0.560472	0	0.0560472	0.383481	DAN	DAN		0.396119	12.4408	0.418001	12.1056	free	DAN
TAROTS	6	1400	168	9	168	9	0.0535714	0.0535714	49	5	0.102041	26	0	39	0.0769231	False	True	0.836735	0	0	0.163265	0.886905	0	0.00595238	0.107143	TAR	TAR		0.619737	12.3958	0.655995	15.6841	free	TAR
EALES	5	800	486	5	486	7	0.0123457	0.0102881	132	2	0.0151515	81	0	118	0	False	True	0.371212	0.204545	0.0757576	0.348485	0.226337	0.228395	0.139918	0.40535	ALES		LEASE	0.349127	12.3099	0.252156	10.4094	free	ALES
AMORET	6	1400	120	0	120	1	0.00416667	0	41	0	0	27	0	33	0.030303	False	True	0.829268	0	0	0.170732	0.85	0	0	0.15	MORE	MORE		0.614338	12.3082	0.629329	11.7033	free	MORE
RATITE	6	1400	170	1	170	6	0.0205882	0.00588235	40	0	0	23	0.0869565	45	0.0444444	False	True	0.85	0	0	0.15	0.894118	0	0.0117647	0.0941176	TITE	TITE		0.629329	12.301	0.661192	17.2641	free	TITE
SEASON	6	1400	95	0	95	1	0.00526316	0	35	0	0	12	0	18	0	False	True	0.971429	0	0	0.0285714	0.978947	0	0	0.0210526	SEA	SEA		0.717132	12.2651	0.722569	10.6378	free	SEA
ANTAE	5	800	314	0	314	2	0.00318471	0	95	0	0	49	0	87	0.0114943	False	True	0.621053	0	0	0.378947	0.60828	0	0	0.39172	ANT			0.461802	12.2503	0.452534	12.5832	free	ANT
HANSE	5	800	254	2	254	10	0.023622	0.00787402	91	0	0	42	0.047619	77	0.0649351	False	True	0.648352	0	0.010989	0.340659	0.653543	0	0.00393701	0.34252	HAN	HAN		0.481643	12.2386	0.485391	10.7407	free	HAN
TENORS	6	1400	210	15	210	15	0.0714286	0.0714286	66	7	0.106061	49	0.122449	59	0.0677966	False	True	0.651515	0	0.19697	0.151515	0.595238	0	0.190476	0.214286	TEN		TONERS,STONER	0.485175	12.2269	0.444503	12.1412	free	TEN
STEREO	6	1400	240	0	240	3	0.00625	0	76	0	0	62	0.016129	55	0.0363636	False	True	0.434211	0	0	0.565789	0.345833	0	0	0.654167	STERE			0.328677	12.2064	0.264773	9.84766	free	STERE
TAIRA	5	800	302	0	302	1	0.00165563	0	79	0	0	38	0	84	0	False	True	0.746835	0	0.0126582	0.240506	0.81457	0	0.00331126	0.182119	TAI	TAI		0.553113	12.2013	0.602238	16.1059	free	TAI
LACETS	6	1400	109	1	109	15	0.0733945	0.00917431	44	1	0.0227273	18	0.444444	29	0.310345	False	True	0.795455	0	0	0.204545	0.788991	0	0	0.211009	LACE	LACE		0.589888	12.1944	0.585214	9.73032	free	LACE
ENSEAL	6	1400	129	3	129	0	0.0116279	0.0232558	41	1	0.0243902	25	0	29	0	False	True	0.853659	0	0	0.146341	0.744186	0	0	0.255814	SEAL	SEA		0.631974	12.1729	0.552816	10.5865	free	SEA
RAIAS	5	800	192	2	192	6	0.0208333	0.0104167	69	0	0	28	0	49	0.0408163	False	True	0.855072	0	0.0144928	0.130435	0.770833	0	0.00520833	0.223958	RAI	RAI		0.631661	12.1702	0.570506	9.52289	free	RAI
TEEND	5	800	183	0	183	24	0.0655738	0	65	0	0	33	0.272727	50	0.26	False	True	0.907692	0	0	0.0923077	0.84153	0	0	0.15847	TEEN	TEE		0.669804	12.157	0.621793	10.0764	free	TEE
TEAING	6	1400	148	12	148	2	0.0472973	0.0810811	51	7	0.137255	22	0	36	0.0277778	False	True	0.843137	0	0.0196078	0.137255	0.851351	0	0.027027	0.121622	TEA	TEA		0.624304	12.138	0.630219	12.5948	free	TEA
ANESTRI	7	1800	155	1	155	0	0.00322581	0.00645161	44	0	0	26	0	36	0	False	True	0.613636	0	0.0227273	0.363636	0.458065	0	0.0580645	0.483871	NEST		RETAINS	0.437153	12.0846	0.328072	9.93271	free	NEST
LORAN	5	800	186	6	186	1	0.0188172	0.0322581	75	4	0.0533333	38	0.0263158	40	0	False	True	0.853333	0	0	0.146667	0.870968	0	0	0.129032	LOR	LOR		0.630358	12.0843	0.643155	10.0621	free	LOR
TRENISE	7	1800	126	0	126	1	0.00396825	0	43	0	0	31	0.0322581	37	0	False	True	0.627907	0	0.0232558	0.348837	0.626984	0	0.031746	0.34127	REN	REN		0.447128	12.0795	0.446412	11.2073	free	REN
TRINAL	6	1400	135	0	135	2	0.00740741	0	57	0	0	24	0	32	0.03125	False	True	0.578947	0	0	0.421053	0.637037	0	0	0.362963	TRIN	RIN		0.433335	12.0698	0.475338	9.94454	free	RIN
URENT	5	800	207	0	207	0	0	0	79	0	0	48	0	66	0	False	False	0.734177	0	0.0126582	0.253165	0.729469	0	0.00483092	0.2657	RENT	REN		0.543928	11.9987	0.540489	9.90756	free	REN
TRESS	5	800	314	8	314	20	0.044586	0.0254777	93	6	0.0645161	55	0.0181818	67	0.0447761	False	True	0.709677	0	0	0.290323	0.630573	0	0	0.369427	RES	RES		0.526113	11.987	0.468711	12.3246	free	RES
IDENT	5	800	335	0	335	5	0.00746269	0	109	0	0	66	0.030303	92	0.0326087	False	True	0.522936	0.00917431	0.0275229	0.440367	0.513433	0.00597015	0.0716418	0.408955	DENT			0.39375	11.9843	0.385908	11.4482	free	DENT
RESTEM	6	1400	124	2	124	1	0.0120968	0.016129	45	0	0	30	0	32	0.03125	False	True	0.733333	0	0	0.266667	0.733871	0	0.0241935	0.241935	REST	RES		0.544969	11.9836	0.54528	10.1683	free	RES
RESEDA	6	1400	136	0	136	0	0	0	44	0	0	29	0	37	0	False	False	0.75	0	0.0681818	0.181818	0.75	0	0.0367647	0.213235	RES	RES		0.556801	11.9717	0.556902	11.7372	free	RES
EROTIC	6	1400	109	1	109	0	0.00458716	0.00917431	43	0	0	13	0	31	0	False	True	0.767442	0	0	0.232558	0.697248	0	0	0.302752	ROT	ROT		0.569632	11.9692	0.518876	8.60975	free	ROT
