affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-NET	308	93	3.078e+05	0.30195	274	59	0.21533	0.99121	1	-38147
-GE	680	322	3.048e+05	0.47353	578	307	0.53114	0.020841	0.20965	32505
AT-	263	28	3.046e+05	0.10646	260	44	0.16923	0.018625	0.19635	21353
SEA-	237	61	3.008e+05	0.25738	212	55	0.25943	0.48024	0.95935	816.31
-SI	377	31	3.004e+05	0.082228	351	15	0.042735	0.98568	1	-12843
-TAL	258	49	2.998e+05	0.18992	225	31	0.13778	0.93795	1	-19231
STE-	310	106	2.996e+05	0.34194	209	59	0.2823	0.92378	1	-27243
RED-	190	19	2.982e+05	0.1	167	12	0.071856	0.82696	1	-9253.7
-IT	520	213	2.966e+05	0.40962	425	125	0.29412	0.99989	1	-54376
-IAL	211	13	2.952e+05	0.061611	184	17	0.092391	0.12468	0.49464	9683.4
GR-	377	108	2.918e+05	0.28647	209	83	0.39713	0.0030953	0.067064	45347
-CES	219	24	2.918e+05	0.10959	181	56	0.30939	3.3049e-07	3.9895e-05	65176
-ION	243	53	2.916e+05	0.21811	191	44	0.23037	0.38044	0.86417	4572.8
CAR-	239	53	2.912e+05	0.22176	201	42	0.20896	0.62745	1	-4770.1
-AT	481	153	2.906e+05	0.31809	426	92	0.21596	0.99973	1	-42647
ON-	235	2	2.886e+05	0.0085106	196	1	0.005102	0.66416	1	-989.17
-PS	531	181	2.884e+05	0.34087	456	169	0.37061	0.16504	0.55341	13166
EA-	405	137	2.872e+05	0.33827	370	107	0.28919	0.92915	1	-21920
UP-	187	0	2.862e+05	0	198	2	0.010101	0.084109	0.40846	2890.9
-GES	379	182	2.826e+05	0.48021	320	173	0.54063	0.05572	0.33631	32515
-TAS	228	32	2.812e+05	0.14035	200	36	0.18	0.13146	0.50307	12926
BO-	358	107	2.804e+05	0.29888	290	52	0.17931	0.99978	1	-46346
-HED	297	106	2.798e+05	0.3569	256	119	0.46484	0.0049911	0.090509	46480
