word	len	trials	finds	vowelInitial	removedByFlux	commonEnglish	comparable	compP10	compMedian	pZeroAtP10	pZeroAtMedian	compP10SameInitial	compMedianSameInitial	pZeroAtP10SameInitial	pZeroAtMedianSameInitial	qAtMedian	qAtMedianSameInitial	qAtP10SameInitial
SDEIGN	6	110	0	False	False	False	1633	0.0119	0.1077	0.2678	3.603e-06	0.0125	0.1344	0.2507	1.276e-07	4.351e-06	2.947e-07	0.4083
SEARAT	6	408	0	False	False	False	409	0.009294	0.1701	0.02216	9.159e-34	0.01105	0.2198	0.01076	1.041e-44	2.036e-32	7.117e-43	0.2266
SEARATS	7	134	0	False	False	False	438	0.0102	0.1034	0.253	4.417e-07	0.01515	0.1286	0.1293	9.796e-09	6.901e-07	2.884e-08	0.4083
SEBATE	6	100	0	False	False	True	1721	0.0125	0.1047	0.2843	1.582e-05	0.01351	0.1228	0.2565	2.039e-06	1.662e-05	3.731e-06	0.4083
SEFER	5	126	0	False	False	False	1537	0.0102	0.1	0.2746	1.716e-06	0.01332	0.1154	0.1847	1.955e-07	2.399e-06	4.348e-07	0.4083
SEGOL	5	154	0	False	False	True	1583	0.009407	0.1075	0.2333	2.464e-08	0.01366	0.127	0.1202	8.268e-10	5.166e-08	2.952e-09	0.4083
SEHRI	5	446	0	False	False	False	941	0.008439	0.1467	0.02283	1.874e-31	0.01293	0.1891	0.003014	2.467e-41	3.702e-30	1.371e-39	0.1165
SEHRIS	6	124	0	False	False	False	1508	0.01087	0.1111	0.2579	4.54e-07	0.01306	0.1383	0.196	9.645e-09	6.983e-07	2.868e-08	0.4083
SEIDEL	6	162	0	False	False	True	1281	0.0101	0.1207	0.1931	8.934e-10	0.01333	0.1527	0.1137	2.202e-12	2.421e-09	1.255e-11	0.4083
SEIFS	5	118	0	False	False	False	1560	0.01111	0.103	0.2675	2.704e-06	0.01366	0.1161	0.1973	4.756e-07	3.352e-06	9.354e-07	0.4083
SEISIN	6	146	0	False	False	False	1319	0.009615	0.1154	0.244	1.683e-08	0.01351	0.1494	0.1372	5.47e-11	3.632e-08	2.52e-10	0.4083
SEITENS	7	120	0	False	False	False	517	0.01126	0.1058	0.2569	1.493e-06	0.01341	0.13	0.198	5.525e-08	2.127e-06	1.479e-07	0.4083
SELVA	5	114	0	False	False	True	1638	0.01163	0.1	0.2636	6.076e-06	0.01351	0.1111	0.212	1.474e-06	6.838e-06	2.736e-06	0.4083
SEMEIA	6	114	0	False	False	True	1652	0.01163	0.1068	0.2636	2.572e-06	0.0125	0.1359	0.2384	5.873e-08	3.313e-06	1.536e-07	0.4083
SEMITAR	7	114	0	False	False	False	542	0.01163	0.1087	0.2636	2.005e-06	0.0125	0.1311	0.2384	1.096e-07	2.704e-06	2.612e-07	0.4083
SENARY	6	110	0	False	False	True	1633	0.0119	0.1077	0.2678	3.603e-06	0.0125	0.1344	0.2507	1.276e-07	4.351e-06	2.947e-07	0.4083
SENECA	6	150	0	False	False	False	1319	0.009434	0.1118	0.2413	1.877e-08	0.01299	0.1466	0.1407	4.749e-11	3.983e-08	2.234e-10	0.4083
SENGIS	6	148	0	False	False	False	1354	0.009434	0.1147	0.2459	1.475e-08	0.01313	0.1462	0.1415	6.985e-11	3.253e-08	3.08e-10	0.4083
SENITI	6	356	0	False	False	False	501	0.00838	0.1479	0.05	1.807e-25	0.01138	0.187	0.01699	1.001e-32	2.633e-24	3.708e-31	0.2853
SEPIA	5	338	0	False	False	True	1196	0.009317	0.1351	0.04226	4.959e-22	0.01254	0.1765	0.01404	3.159e-29	5.248e-21	8.776e-28	0.2547
SERIPH	6	114	0	False	False	False	1652	0.01163	0.1068	0.2636	2.572e-06	0.0125	0.1359	0.2384	5.873e-08	3.313e-06	1.536e-07	0.4083
SEROMA	6	226	0	False	False	False	932	0.007844	0.125	0.1687	7.831e-14	0.01149	0.1523	0.07341	6.053e-17	4.169e-13	6.812e-16	0.4083
SEROSAL	7	100	0	False	False	False	653	0.01256	0.1098	0.2824	8.931e-06	0.01366	0.14	0.2526	2.817e-07	9.718e-06	5.852e-07	0.4083
SEROTINE	8	104	0	False	False	True	39	0.01297	0.1	0.2574	1.743e-05	0.01517	0.125	0.204	9.308e-07	1.797e-05	1.768e-06	0.4083
SESAME	6	108	0	False	False	True	1661	0.0119	0.1071	0.2743	4.836e-06	0.01282	0.133	0.2482	2.025e-07	5.701e-06	4.348e-07	0.4083
SESELI	6	170	0	False	False	False	1220	0.009434	0.1191	0.1996	4.37e-10	0.0129	0.1527	0.1099	5.85e-13	1.282e-09	3.769e-12	0.4083
SESTET	6	136	0	False	False	True	1448	0.01042	0.1143	0.2407	6.767e-08	0.01333	0.1455	0.1611	5.2e-10	1.294e-07	1.959e-09	0.4083
SETOSE	6	242	0	False	False	True	883	0.007716	0.1216	0.1534	2.349e-14	0.01146	0.149	0.06141	1.113e-17	1.347e-13	1.435e-16	0.4083
SETUP	5	144	0	False	False	True	1567	0.009615	0.1058	0.2487	1.02e-07	0.01316	0.1231	0.1485	6.116e-09	1.814e-07	1.877e-08	0.4083
SHARON	6	112	0	False	False	False	1584	0.01163	0.1083	0.2698	2.647e-06	0.0122	0.1364	0.253	7.397e-08	3.328e-06	1.822e-07	0.4083
SHEILA	6	174	0	False	False	False	1226	0.009434	0.1195	0.1922	2.406e-10	0.01302	0.153	0.1022	2.829e-13	7.559e-10	1.934e-12	0.4083
SHELTA	6	112	0	False	False	True	1584	0.01163	0.1083	0.2698	2.647e-06	0.0122	0.1364	0.253	7.397e-08	3.328e-06	1.822e-07	0.4083
SHENAI	6	174	0	False	False	False	1226	0.009434	0.1195	0.1922	2.406e-10	0.01302	0.153	0.1022	2.829e-13	7.559e-10	1.934e-12	0.4083
SHERIAT	7	148	0	False	False	True	361	0.009434	0.1032	0.2459	1.002e-07	0.01451	0.1286	0.1149	1.427e-09	1.814e-07	5.033e-09	0.4083
SHIAI	5	140	0	False	False	False	1629	0.009804	0.1037	0.2517	2.22e-07	0.01316	0.1187	0.1566	2.065e-08	3.737e-07	5.81e-08	0.4083
SIALON	6	136	0	False	False	False	1448	0.01042	0.1143	0.2407	6.767e-08	0.01333	0.1455	0.1611	5.2e-10	1.294e-07	1.959e-09	0.4083
SIDERAL	7	138	0	False	False	True	400	0.009597	0.1033	0.2643	2.914e-07	0.01515	0.1286	0.1216	5.649e-09	4.737e-07	1.8e-08	0.4083
SIDHA	5	174	0	False	False	False	1574	0.009461	0.1069	0.1913	2.859e-09	0.01351	0.1284	0.09373	4.09e-11	7.2e-09	1.976e-10	0.4083
SIENITE	7	110	0	False	False	False	555	0.0119	0.1132	0.2678	1.821e-06	0.01282	0.1383	0.2419	7.75e-08	2.503e-06	1.898e-07	0.4083
SIENNA	6	158	0	False	False	True	1272	0.01011	0.1205	0.2007	1.554e-09	0.01333	0.1531	0.1199	3.987e-12	4.005e-09	2.201e-11	0.4083
SIERRA	6	248	0	False	False	True	856	0.007576	0.118	0.1517	3.024e-14	0.011	0.1431	0.06435	2.322e-17	1.712e-13	2.716e-16	0.4083
SIETHS	6	170	0	False	False	False	1220	0.009434	0.1191	0.1996	4.37e-10	0.0129	0.1527	0.1099	5.85e-13	1.282e-09	3.769e-12	0.4083
SIEUR	5	338	0	False	False	False	1196	0.009317	0.1351	0.04226	4.959e-22	0.01254	0.1765	0.01404	3.159e-29	5.248e-21	8.776e-28	0.2547
SIGLA	5	160	0	False	False	True	1576	0.01015	0.1088	0.1954	9.903e-09	0.01437	0.1296	0.09871	2.252e-10	2.281e-08	9.144e-10	0.4083
SILENI	6	212	0	False	False	True	992	0.008621	0.125	0.1595	5.078e-13	0.01191	0.1534	0.07892	4.654e-16	2.292e-12	4.449e-15	0.4083
SIMARS	6	110	0	False	False	False	1633	0.0119	0.1077	0.2678	3.603e-06	0.0125	0.1344	0.2507	1.276e-07	4.351e-06	2.947e-07	0.4083
SIRDAR	6	104	0	False	False	True	1642	0.0122	0.108	0.2791	6.905e-06	0.01309	0.1316	0.254	4.246e-07	7.673e-06	8.52e-07	0.4083
SIRIH	5	134	0	False	False	True	1618	0.01	0.1042	0.2601	3.967e-07	0.01306	0.1176	0.1719	5.201e-08	6.231e-07	1.397e-07	0.4083
SIROC	5	360	0	False	False	True	1172	0.009385	0.1402	0.03355	2.416e-24	0.01282	0.1817	0.009607	4.504e-32	3.113e-23	1.602e-30	0.2083
SIROSET	7	150	0	False	False	False	354	0.009312	0.1033	0.2458	7.875e-08	0.01399	0.1299	0.1208	8.678e-10	1.44e-07	3.086e-09	0.4083
SITUS	5	220	0	False	False	True	1475	0.009615	0.1095	0.1194	8.33e-12	0.0125	0.1379	0.06283	6.635e-15	3.262e-11	5.513e-14	0.4083
SKEO	4	144	0	False	False	True	792	0.01631	0.1375	0.09362	5.653e-10	0.01949	0.1507	0.05873	6.136e-11	1.642e-09	2.797e-10	0.4083
SLAINTE	7	140	0	False	False	True	405	0.009691	0.1032	0.2558	2.394e-07	0.01515	0.1286	0.118	4.29e-09	3.963e-07	1.382e-08	0.4083
SLOID	5	212	0	False	False	False	1434	0.009461	0.109	0.1333	2.366e-11	0.0125	0.1331	0.06948	7.146e-14	8.763e-11	5.339e-13	0.4083
SLORM	5	110	0	False	False	False	1618	0.0119	0.09658	0.2678	1.405e-05	0.01282	0.1071	0.2419	3.855e-06	1.494e-05	6.882e-06	0.4083
SLUIT	5	122	0	False	False	True	1598	0.0108	0.1023	0.2659	1.921e-06	0.01366	0.1154	0.1867	3.192e-07	2.6e-06	6.553e-07	0.4083
SLUSE	5	106	0	False	False	False	1573	0.0119	0.09821	0.281	1.742e-05	0.01316	0.1071	0.2456	6.066e-06	1.797e-05	1.045e-05	0.4083
SNARIER	7	128	0	False	False	False	454	0.01042	0.1054	0.2618	6.477e-07	0.01495	0.1308	0.1455	1.614e-08	9.645e-07	4.658e-08	0.4083
SNASTE	6	346	0	False	False	True	524	0.008315	0.1396	0.05563	2.538e-23	0.01138	0.1722	0.01906	4.052e-29	3.049e-22	1.059e-27	0.2968
SNEAPS	6	102	0	False	False	False	1673	0.0125	0.1081	0.2772	8.548e-06	0.01316	0.1298	0.259	6.925e-07	9.347e-06	1.324e-06	0.4083
SNEATH	6	262	0	False	False	True	803	0.007599	0.1154	0.1355	1.121e-14	0.01187	0.1425	0.04379	3.168e-18	6.97e-14	4.714e-17	0.4083
