word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
FEART	5	800	140	47	0.057143	0.028571	0	0.032258	0.125	free	0.68085	0	0.021277			FEAR	FEAR	0.50526	6.6309	6.4676	False	True
TONUS	5	800	113	46	0.0088496	0.017699	0	0	0	free	0.69565	0	0.043478	TON		TON	TON	0.51606	6.6286	5.7187	False	True
PRESET	6	1400	90	33	0.072222	0.077778	0.15152	0.090909	0.068966	free	0.75758	0	0	RES		RESET	RES	0.5625	6.6274	7.8607	False	True
LOSEL	5	800	117	46	0.008547	0.008547	0	0	0.034483	free	0.69565	0	0	LOS		LOSE	LOS	0.51594	6.627	5.5531	False	True
SANSA	5	800	113	46	0.0044248	0	0	0	0.034483	free	0.69565	0	0	SAN		SAN	SAN	0.51594	6.627	5.3165	False	True
YRENT	5	800	127	45	0	0	0	0	0	free	0.71111	0	0	REN		RENT	REN	0.52715	6.6239	5.8443	True	False
SEWAR	5	800	122	44	0.012295	0	0	0.125	0.047619	free	0.72727	0	0.022727	WAR	WARES	WAR	WAR	0.53895	6.6216	5.9692	False	True
LINGA	5	800	152	52	0.065789	0.11184	0.21154	0.041667	0.022222	free	0.90385	0	0	LING		LING	LING	0.66701	6.6135	6.6769	False	True
AFORE	5	800	90	40	0.0055556	0	0	0	0	free	0.8	0	0	FORE		FORE	FORE	0.59166	6.6084	4.3941	False	True
NONET	5	800	200	62	0.075	0.005	0.016129	0.19355	0.24138	free	0.53226	0	0.096774		TONNE	NONE	NONE	0.39764	6.6049	7.567	False	True
ARPENS	6	1400	73	34	0.0068493	0	0	0.058824	0	free	0.52941	0	0.029412	PEN		PENS	PEN	0.39742	6.6029	4.7602	False	True
NONETS	6	1400	108	34	0.092593	0	0	0.21053	0.28571	free	0.52941	0	0.088235		SONNET,TONNES	NONE	NONE	0.39723	6.5997	7.861	False	True
SERRA	5	800	337	103	0.081602	0.041543	0.029126	0.18182	0.175	free	0.33981	0	0.2233			SER	SER	0.25835	6.5927	7.3349	False	True
AORTAS	6	1400	106	32	0	0	0	0	0	free	0.5625	0	0	TAS		TAS	TAS	0.42144	6.5901	6.2926	True	False
NERINE	6	1400	102	30	0	0	0	0	0	free	0.6	0	0	RINE		RINE	RINE	0.44856	6.5757	8.1885	True	False
HELOTS	6	1400	60	29	0.025	0	0	0.16667	0.1	free	0.62069	0	0	LOT		LOTS	LOT	0.46352	6.5685	4.3949	False	True
IDEATA	6	1400	67	29	0	0	0	0	0	free	0.62069	0	0	EAT		EAT	EAT	0.46352	6.5685	4.4108	True	False
TRITER	6	1400	121	29	0.086777	0.041322	0	0.13636	0.068966	free	0.62069	0	0	RIT		RITE	RIT	0.46352	6.5685	8.6896	False	True
SCRAN	5	800	169	51	0.044379	0.023669	0.019608	0.057143	0.068182	free	0.64706	0	0.039216	RAN	CARNS	RAN	RAN	0.48079	6.5676	6.9462	False	True
LADINO	6	1400	61	27	0	0	0	0	0	free	0.66667	0	0	DIN		LAD	DIN	0.49676	6.5542	4.8454	True	False
IRENIC	6	1400	67	26	0	0	0	0	0	free	0.69231	0	0	REN		REN	REN	0.5153	6.547	5.9796	True	False
ENTAME	6	1400	67	26	0.0074627	0.014925	0	0	0	free	0.69231	0	0	TAME		TAME	TAME	0.5153	6.547	5.0403	False	True
HAIRST	6	1400	87	26	0	0	0	0	0	free	0.69231	0	0	AIRS		HAIRS	AIRS	0.5153	6.547	6.9217	False	False
RESHOD	6	1400	70	26	0	0	0	0	0	free	0.69231	0	0	RES		RES	RES	0.5153	6.547	5.8739	False	False
EARNEST	7	1800	115	28	0.03913	0.043478	0.035714	0.10714	0.037037	free	0.57143	0	0			EARN	EARN	0.40782	6.546	9.2242	False	True
ETICS	5	800	225	80	0	0	0	0	0	free	0.3875	0	0.25		CITES	TIC	TIC	0.29304	6.546	5.6983	False	False
CENTAS	6	1400	104	33	0.052885	0.076923	0.090909	0.041667	0.034483	free	0.66667	0	0	TAS		CENT	TAS	0.49676	6.5447	7.1769	False	True
ASTRIDE	7	1800	91	29	0.027473	0.021978	0.034483	0.066667	0.041667	free	0.55172	0	0.068966			RIDE	RIDE	0.39348	6.5408	5.4535	False	True
HARELD	6	1400	68	25	0	0	0	0	0	free	0.72	0	0			HARE	HARE	0.53533	6.5398	5.4216	True	False
